no   Ns  j   prob
35   50  2   0.163058397785674
40   50  2   0.1945022100696081
45   50  2   0.21926189772027582
50   50  2   0.23749305315955038
55   50  2   0.24969571980897398
60   50  2   0.2565201881900727
65   50  2   0.2586529556548025
70   50  2   0.25675832490486106
75   50  2   0.25145404005896976
80   50  2   0.24330540267899237
85   50  2   0.2328279953233715
90   50  2   0.22049334347576732
95   50  2   0.20673457258242356
100  50  2   0.1919507385159004
105  50  2   0.17650941617862237
110  50  2   0.16074761321195608
115  50  2   0.14497131956393117
120  50  2   0.12945411570491971
125  50  2   0.11443529909727823
130  50  2   0.10011797818082524
135  50  2   0.08666753927424808
140  50  2   0.07421082195552686
145  50  2   0.06283624864894521
150  50  2   0.052595050879647554
155  50  2   0.043503625780663135
160  50  2   0.03554695075418346
165  50  2   0.02868289065290397
170  50  2   0.022847158485818975
175  50  2   0.017958643497668958
180  50  2   0.01392480272183072
185  50  2   0.010646823688698515
190  50  2   0.008024303577675251
195  50  2   0.0059592477055169235
200  50  2   0.004359260006573273
